name,lat,lng,place_id,address
TRU TEA | 初茶,43.8412527,-79.3992092,ChIJSTQBvOYrK4gRDuE6XO7tO9s,"101-330 Hwy 7, Richmond Hill"
Chatime,43.8990984,-79.395254,ChIJr5MVZScrK4gRIqkNSHG0wk0,"1500 Elgin Mills Rd E Unit #106, Richmond Hill"
Easy Tea 淺淺茶,43.8557296,-79.43036,ChIJO0v97m4rK4gRM_Ov_K3s93M,"9325 Yonge St Unit 18, Richmond Hill"
M Chá Bar,43.8289105,-79.5374714,ChIJmYwbJqsvK4gRVNv2un527os,"3175 Rutherford Rd #72, Concord"
TP Tea (Commerce Gate),43.8419213,-79.3865716,ChIJN8-3UTorK4gRu7GQuzdNNdI,"505 Hwy 7 Unit 86, Thornhill"
Palgong Tea,43.841755,-79.3951161,ChIJRUmE68crK4gRaeYXWUt5z40,"372 Hwy 7, Richmond Hill"
Kung Fu Tea on Highway 7,43.8425283,-79.386505,ChIJQf14-AArK4gRea6w4tSKFQw,"505 Hwy 7 Unit 8, Thornhill"
Chatime,43.8425718,-79.3871839,ChIJW6aBnU4rK4gRzUtvsUT5wUA,"505 Hwy 7 #22, Thornhill"
Chatime,43.862215,-79.4846695,ChIJL3FYEGUpK4gR4CIybeTgvdA,"1380 Major MacKenzie Dr W Unit I003, Maple"
Chatime,43.8280698,-79.5370583,ChIJ3aPJhEAvK4gRRwVUsNq6q8s,"3175 Rutherford Rd Unit #31, Concord"
The Alley,43.8425045,-79.3867523,ChIJzzuUl04rK4gRJhWtGlHseSY,"505 Hwy 7 #16, Thornhill"
CoCo Fresh Tea & Juice,43.8601645,-79.4334855,ChIJNyZQBQUrK4gRHupKJonOkeo,"9555 Yonge St Unit 1, Richmond Hill"
Kung Fu Tea on Rutherford,43.8496415,-79.4599289,ChIJqQdrTmErK4gRPnPQ411AUjU,"9360 Bathurst St Unit 4F/106, Vaughan"
CoCo Fresh Tea & Juice,43.8284871,-79.538297,ChIJ_ToU5mcvK4gRb0KNojhko4E,"3175 Rutherford Rd Unit 60, Concord"
M Chá Bar,43.8539477,-79.33766399999999,ChIJYSmwJObV1IkRsu0vyXMZ9xo,"3621 Hwy 7 #122, Markham"
Bubble Tea,43.8848064,-79.4659882,ChIJQ67SGSYqK4gR58vT4Gco_SA,Richmond Hill
Golden Bubbles Richmond Hill,43.8956929,-79.4435757,ChIJ40RT1forK4gRYc2vnevh4vE,"11000 Yonge St D2, Richmond Hill"
CoCo Fresh Tea & Juice,43.8425726,-79.3865616,ChIJN4NXlk4rK4gR5Ge61II-1uo,"505 Hwy 7 Unit 5, Thornhill"
Shuyi Tealicious 书亦烧仙草,43.843229,-79.4082047,ChIJDaAiiOQrK4gREhD286YyP_g,"8750 Bayview Ave #15, Richmond Hill"
Chatime,43.8488834,-79.323605,ChIJ81T7HEXU1IkRAJHHwEP6NqE,"169 Enterprise Blvd l106, Markham"
