 ,description,email,extra,extra2,extra3,facebook,friday,id,image_url,instagram,loc_lat,loc_long,monday,name,phone,priority,saturday,streetaddress,sunday,tags/0,thursday,tuesday,twitter,website,wednesday,color
,,,,,,0,,26801765,,0,43.66867,-79.33733,,1021 Gerrard St. E,(416) 900-2236,,,"1021 Gerrard Street East, Toronto, ON M4M 1Z6",,toronto,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3029/m/menu_60,,
,,,,,,0,,27441622,,0,43.81093,-79.45364,,11 Disera Dr,(905) 731-9988,,,"260-11 Disera Dr. Thornhill, ON L4J 0A7",,thornhill,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3033/m/menu_60,,
,,,,,,0,,26802226,,0,43.394109,-79.790927,,2000 Appleby Line,(289) 337-8851,,,"G05-2000 Appleby Line, Burlington, ON L7L 6M6",,burlington,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3030/m/menu_60,,
,,,,,,,,26536279,,,43.714354,-79.722845,,25 Peel Centre Dr,(905) 581-7768,,,"25 Peel Centre Dr. Unit F5, Brampton, ON L6T 3R5, Canada",,Brampton,,,,https://gosnappy.io/owa/snappy/detail/G2991/3008/,,
,,,,,,,,26536274,,,43.829093,-79.537175,,3175 Rutherford ,(905) 597 6678,,,"3175 Rutherford Rd, Unit 60, Concord, ON L4K 5Y6, Canada",,Vaughan,,,,https://gosnappy.io/owa/snappy/detail/G2991/3023/m/menu_60,,
,,,,,,,,26536255,,,43.649255,-79.395444,,352 Queen St W,(416) 977-9090,,,"352 Queen St W, Toronto, ON M5V 2A2, Canada",,Toronto,,,,https://gosnappy.io/owa/snappy/detail/G2991/2992/,,
,,,,,,0,,26536257,,0,43.658732,-79.38218,,372 Yonge St,(416) 348-0888,,,"372 Yonge St, Toronto, ON M5B 1S6, Canada",,Toronto,,,0,https://gosnappy.io/owa/snappy/detail/G2991/2994/,,
,,,,,,,,32764259,,,43.64998,-79.5281,,4868 Dundas St W,(416) 231-7888,,,4868 Dundas St W Etobicoke ON M9A 1B5 Canada,,Etobicoke,,,,https://gosnappy.io/owa/snappy/detail/G2991/3046/m/menu_60,,
,,,,,,0,,26536271,,0,43.889259,-79.314899,,50 Bur Oak,(905) 534-8867,,,"50 Bur Oak Ave, Unit 8, Markham, ON L6C 0A2, Canada",,Markham,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3002/,,
,,,,,,0,,26800851,,0,43.772711,-79.258858,,60 Brian Harrison Way,(647) 345-2996,,,"60 Brian Harrison Way, Unit 4, Scarborough, ON M1P 5J5",,scarborough,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3031/m/menu_60,,
