OID_,id,loc_lat,loc_long,name,phone,streetaddress,tags_0,website
1,26801765,43.668669999999999,-79.337329999999994,1021 Gerrard St. E,(416) 900-2236,"1021 Gerrard Street East, Toronto, ON M4M 1Z6",toronto,https://gosnappy.io/owa/snappy/detail/G2991/3029/m/menu_60
2,27441622,43.810929999999999,-79.453639999999993,11 Disera Dr,(905) 731-9988,"260-11 Disera Dr. Thornhill, ON L4J 0A7",thornhill,https://gosnappy.io/owa/snappy/detail/G2991/3033/m/menu_60
3,26802226,43.394109000000000,-79.790926999999996,2000 Appleby Line,(289) 337-8851,"G05-2000 Appleby Line, Burlington, ON L7L 6M6",burlington,https://gosnappy.io/owa/snappy/detail/G2991/3030/m/menu_60
4,26536279,43.714354000000000,-79.722845000000007,25 Peel Centre Dr,(905) 581-7768,"25 Peel Centre Dr. Unit F5, Brampton, ON L6T 3R5, Canada",Brampton,https://gosnappy.io/owa/snappy/detail/G2991/3008/
5,26536274,43.829093000000000,-79.537175000000005,3175 Rutherford ,(905) 597 6678,"3175 Rutherford Rd, Unit 60, Concord, ON L4K 5Y6, Canada",Vaughan,https://gosnappy.io/owa/snappy/detail/G2991/3023/m/menu_60
6,26536255,43.649254999999997,-79.395443999999998,352 Queen St W,(416) 977-9090,"352 Queen St W, Toronto, ON M5V 2A2, Canada",Toronto,https://gosnappy.io/owa/snappy/detail/G2991/2992/
7,26536257,43.658732000000001,-79.382180000000005,372 Yonge St,(416) 348-0888,"372 Yonge St, Toronto, ON M5B 1S6, Canada",Toronto,https://gosnappy.io/owa/snappy/detail/G2991/2994/
8,32764259,43.649979999999999,-79.528099999999995,4868 Dundas St W,(416) 231-7888,4868 Dundas St W Etobicoke ON M9A 1B5 Canada,Etobicoke,https://gosnappy.io/owa/snappy/detail/G2991/3046/m/menu_60
9,26536271,43.889259000000003,-79.314898999999997,50 Bur Oak,(905) 534-8867,"50 Bur Oak Ave, Unit 8, Markham, ON L6C 0A2, Canada",Markham,https://gosnappy.io/owa/snappy/detail/G2991/3002/
10,26800851,43.772711000000001,-79.258858000000004,60 Brian Harrison Way,(647) 345-2996,"60 Brian Harrison Way, Unit 4, Scarborough, ON M1P 5J5",scarborough,https://gosnappy.io/owa/snappy/detail/G2991/3031/m/menu_60
11,26536259,43.664605999999999,-79.414537999999993,630 Bloor St W,(416) 533-7732,"630 Bloor St W, Toronto, ON M6G 1K7, Canada",Toronto,https://gosnappy.io/owa/snappy/detail/G2991/2996/
12,26536258,43.666795999999998,-79.385547000000003,648 Yonge,(647) 348-8181,"648 Yonge St, Toronto, ON M4Y 2A6, Canada",Toronto,https://gosnappy.io/owa/snappy/detail/G2991/2995/
13,26536268,43.753641000000002,-79.357854000000003,808 York Mills,(647) 344-2626,"808 York Mills Rd., Unit 31, North York, ON M3B 1X8, Canada",North York,https://gosnappy.io/owa/snappy/detail/G2991/3026/m/menu_60
14,33587133,43.858370000000001,-79.333560000000006,8601 Warden Ave.,(905) 940-6333,"8601 Warden Ave. Unit 10, Markham. ON L3R 0B5",markham,https://gosnappy.io/owa/snappy/detail/G2991/3047/m/menu_60
15,26536273,43.859292000000003,-79.433205000000001,9555 Yonge St,(905) 237-1686,"9555 Yonge St, Unit 1, Richmond Hill, ON L4C 9M5, Canada",Richmond Hill,https://gosnappy.io/owa/snappy/detail/G2991/3004/
