BUSINESSID,X_Coord,Y_Coord,PARENTNAME,NAME,TRAFFIC_ZONE,FULL_ADDRESS,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIR,UNIT_NUM,COMMUNITY,MUNICIPALITY,PROVINCE,COUNTRY,POST_CODE,MAIL_FULL_ADDRESS,MAIL_STREET_NUM,MAIL_STREET_NAME,MAIL_STREET_TYPE,MAIL_STREET_DIR,MAIL_UNIT_NUM,MAIL_COMMUNITY,MAIL_MUNICIPALITY,MAIL_PROVINCE,MAIL_COUNTRY,MAIL_POST_CODE,MAIL_POBOX,PRIM_NAICS,PRIM_NAICS_DESC,SEC_NAICS,SEC_NAICS_DESC,PRIM_BUS_CLUSTER,SEC_BUS_CLUSTER,BUS_ACTIVITY_DESC,MANUFACTURER,CAN_HEADOFFICE,HEADOFFICEPROVSTATE,HEADOFFICECOUNTRY,EMPLOYEE_RANGE,YR_CURRENTLOC,WEBSITE,GEN_BUS_EMAIL,PHONE_NO,PHONE_EXT,FAX_NO,TOLLFREE_NO,TOLLFREE_EXT,UPDATEMETHOD,LAST_SURVEYED,LAST_UPDATED
186,623497,4873927,TOWN OF AURORA,AURORA FAMILY LEISURE COMPLEX & CLUB AURORA FITNESS CENTRE,1453,135 INDUSTRIAL PARKWAY NORTH,135,INDUSTRIAL,Parkway,N, ,Aurora,Aurora,ONTARIO,CANADA,L4G4C4,100 JOHN WEST WAY,100,JOHN WEST,Way, , ,Aurora,Aurora,ONTARIO,CANADA,L4G6J1,1000,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,53112,LESSORS OF NON-RESIDENTIAL BUILDINGS (EXCEPT MINI-WAREHOUSES),TOURISM,UNDEFINED,"ARENA, ACTIVITY ROOM, POOL, GYMNASIUM, YOUTH SPACE, SPORTS FIELDS",0,0,ON,CANADA,100-499,1988,WWW.AURORA.CA/CLUBAURORA,FITNESS@AURORA.CA,905-841-7529,0, , , , ,12/20/2019,9/27/2016
658,623467,4871406, ,ACS DISTRIBUTING INC.,1238,26 ALLAURA BOULEVARD,26,ALLAURA,Boulevard, , ,Aurora,Aurora,ONTARIO,CANADA,L4G3S5,26 ALLAURA BOULEVARD,26,ALLAURA,Boulevard, , ,Aurora,Aurora,ONTARIO,CANADA,L4G3S5, ,41447,AMUSEMENT AND SPORTING GOODS WHOLESALER-DISTRIBUTORS, , , , ,DISTRIBUTE BICYCLES TO BIKE STORES. WHOLESALE,0,0,NA,NOT APPLICABLE,9-May,2008,WWW.ACSDISTRIBUTING.COM,INFO@ACSDISTRIBUTING.COM,905-841-7868,0,905-841-7816,800-668-2531, ,In Person,12/20/2019,7/3/2019
1503,619366,4887102,TOWN OF EAST GWILLIMBURY,TOWN OF EAST GWILLIMBURY - RIVER DRIVE PARK COMMUNITY CENTRE,1311,20 OAK AVENUE,20,OAK,Avenue, , ,River Drive Park,East Gwillimbury,ONTARIO,CANADA,L9N1A1,20 OAK AVENUE,20,OAK,Avenue, , ,River Drive Park,East Gwillimbury,ONTARIO,CANADA,L9N1A1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,53112,LESSORS OF NON-RESIDENTIAL BUILDINGS (EXCEPT MINI-WAREHOUSES), , ,"RECREATION PROGRAMS, HALL RENTAL-BANQUET AND MEETING",0,0,ON,CANADA,NOT AVAILABLE,1970,WWW.EASTGWILLIMBURY.CA,CUSTOMERSERVICE@EASTGWILLIMBURY.CA,905-853-6851,0,905-478-8089, , ,other,12/20/2019,9/13/2019
1602,635149,4888218,TOWN OF EAST GWILLIMBURY,TOWN OF EAST GWILLIMBURY - MOUNT ALBERT COMMUNITY CENTRE,1331,53 MAIN STREET,53,MAIN,Street, , ,Mount Albert,East Gwillimbury,ONTARIO,CANADA,L0G1M0,53 MAIN STREET,53,MAIN,Street, , ,Mount Albert,East Gwillimbury,ONTARIO,CANADA,L0G1M0, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,53112,LESSORS OF NON-RESIDENTIAL BUILDINGS (EXCEPT MINI-WAREHOUSES), , ,MUNICIPALLY OWNED HALL RENTAL AND PROVIDE RECREATIONAL ACTIVITIES FOR THE COMMUNITY.,0,0,ON,CANADA,NOT AVAILABLE,1940,WWW.EASTGWILLIMBURY.CA,CUSTOMERSERVICE@EASTGWILLIMBURY.CA,905-473-3134,0,905-478-8098, , ,other,12/20/2019,9/13/2019
2777,622781,4896857, ,24/7 NRG FITNESS,1340,443 THE QUEENSWAY SOUTH,443,THE QUEENSWAY, ,S,200,Keswick,Georgina,ONTARIO,CANADA,L4P3J4,443 THE QUEENSWAY SOUTH,443,THE QUEENSWAY, ,S,200,Keswick,Georgina,ONTARIO,CANADA,L4P3J4, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"FITNESS FACILITY. PROVIDES TRAINING SESSIONS, PERSONAL TRAINERS, SPECIALTY FITNESS CLASSES. 24 HOUR ACCESS",0,0,NA,NOT APPLICABLE,9-May,1995,WWW.NRGFITNESS247.COM,INFO@NRGFITNESS247.COM,905-989-2778,0, , , ,In Person,12/20/2019,5/31/2019
3135,619756,4867859, ,MAPLE LEAF CRICKET CLUB,1283,13811 DUFFERIN STREET,13811,DUFFERIN,Street, , ,King City,King,ONTARIO,CANADA,L7B1K5,13811 DUFFERIN STREET,13811,DUFFERIN,Street, , ,King City,King,ONTARIO,CANADA,L7B1K5, ,71121,SPECTATOR SPORTS, , , , ,NON-PROFIT CRICKET CLUB,0,0,NA,NOT APPLICABLE,NOT AVAILABLE,1956,WWW.MAPLELEAFCRICKETCLUB.CA, , ,0, , , ,In Person,12/20/2019,6/12/2019
3192,618328,4864903,TOWNSHIP OF KING,KING CITY COMMUNITY CENTRE,1288,25 DOCTORS LANE,25,DOCTORS,Lane, , ,King City,King,ONTARIO,CANADA,L7B1G2,25 DOCTORS LANE,25,DOCTORS,Lane, , ,King City,King,ONTARIO,CANADA,L7B1G2, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,91391,"OTHER LOCAL, MUNICIPAL AND REGIONAL PUBLIC ADMINISTRATION",TOURISM,UNDEFINED,ARENA AND COMMUNITY CENTRE,0,0,ON,CANADA,19-Oct,1973,WWW.KING.CA,CUSTOMERSERVICE@KING.CA,905-833-5321,0,905-833-2300,800-688-5013, ,other,12/20/2019,10/11/2019
3316,608350,4861771,TOWNSHIP OF KING,NOBLETON COMMUNITY RECREATION CENTRE,1274,15 OLD KING ROAD,15,OLD KING,Road, , ,Nobleton,King,ONTARIO,CANADA,L0G1N0,15 OLD KING ROAD,15,OLD KING,Road, , ,Nobleton,King,ONTARIO,CANADA,L0G1N0, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,91391,"OTHER LOCAL, MUNICIPAL AND REGIONAL PUBLIC ADMINISTRATION",TOURISM,UNDEFINED,ARENA AND COMMUNITY CENTRE,0,0,ON,CANADA,19-Oct,1947,WWW.KING.CA,CUSTOMERSERVICE@KING.CA,905-833-5321,0,905-833-2300,800-688-5013, ,other,12/20/2019,10/11/2019
3513,605327,4873378,TOWNSHIP OF KING,PARKS & RECREATION WORKS DEPOT,1269,251 WESTERN AVENUE,251,WESTERN,Avenue, , ,Schomberg,King,ONTARIO,CANADA,L0G1T0,251 WESTERN AVENUE,251,WESTERN,Avenue, , ,Schomberg,King,ONTARIO,CANADA,L0G1T0, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,COMMUNITY CENTRE INCLUDING AN ICE SKATING FACILITY,0,0,ON,CANADA,20-49,1962,WWW.KING.CA,CUSTOMERSERVICE@KING.CA,905-939-7751,0, , , ,other,12/20/2019,10/11/2019
3931,632808,4854588, ,GREENLAND SALES LTD.,1177,3145 14TH AVENUE,3145,14TH,Avenue, ,2-Jan,Markham,Markham,ONTARIO,CANADA,L3R0H1,3145 14TH AVENUE,3145,14TH,Avenue, ,2-Jan,Markham,Markham,ONTARIO,CANADA,L3R0H1, ,41447,AMUSEMENT AND SPORTING GOODS MERCHANT WHOLESALERS, , , , ,WHOLESALER FOR OUTDOOR CAMPING EQUIPMENT TO STORES,0,0,NA,NOT APPLICABLE,19-Oct,1994,WWW.CHINOOKTEC.COM,INFO@CHINOOKTEC.COM,905-513-0333,0,905-513-9809,800-513-8299, ,In Person,12/20/2019,5/21/2019
4244,639628,4861631,CITY OF MARKHAM,MOUNT JOY COMMUNITY CENTRE,1214,6140 16TH AVENUE,6140,16TH,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L3P3J3,6140 16TH AVENUE,6140,16TH,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L3P3J3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,ARENA AND COMMUNITY CENTRE,0,0,NA,NOT APPLICABLE,19-Oct,1988,WWW.MARKHAM.CA, ,905-471-8755,0,905-471-9628, , ,other,12/20/2019,9/17/2019
6131,633621,4853795, ,RUNNING FREE SPORTS,1178,708 DENISON STREET,708,DENISON,Street, , ,Markham,Markham,ONTARIO,CANADA,L3R1C1,708 DENISON STREET,708,DENISON,Street, , ,Markham,Markham,ONTARIO,CANADA,L3R1C1, ,45111,SPORTING GOODS STORES, , , , ,"SPORTSWEAR RETAIL. SELLS SPORTS BAGS, SPORTSWEAR, EQUIPMENT. SUPPLEMENTS.",0,0,NA,NOT APPLICABLE,19-Oct,1994,WWW.RUNNINGFREE.COM,MARKHAM@RUNNINGFREE.COM,905-477-7871,0, , , ,In Person,12/20/2019,7/16/2019
6320,633096,4853632, ,ADVANTAGE FITNESS SOLUTIONS,1178,500 DENISON STREET,500,DENISON,Street, , ,Markham,Markham,ONTARIO,CANADA,L3R1B9,500 DENISON STREET,500,DENISON,Street, , ,Markham,Markham,ONTARIO,CANADA,L3R1B9, ,45111,SPORTING GOODS STORES, , , , ,RETAIL COMMERCIAL EXERCISE EQUIPMENT SALES AND SERVICE,0,0,NA,NOT APPLICABLE,20-49,2003,WWW.ADVANTAGEFITNESS.CA,INFO@ADVANTAGEFITNESS.CA,416-410-4480,0,905-415-9916, , ,In Person,12/20/2019,7/16/2019
6698,627707,4851402, ,SILENT SPORTS MARINE LTD.,1147,111 DONCASTER AVENUE,111,DONCASTER,Avenue, , ,Thornhill,Markham,ONTARIO,CANADA,L3T1L6,111 DONCASTER AVENUE,111,DONCASTER,Avenue, , ,Thornhill,Markham,ONTARIO,CANADA,L3T1L6, ,45111,SPORTING GOODS STORES, , , , ,"RETAIL FOR BIKES AND WATER SPORTS, AND BIKE ACCESSORIES",0,0,NA,NOT APPLICABLE,19-Oct,1975,WWW.SILENTSPORTS.COM,INFO@SILENTSPORTS.COM,905-889-3772,0,905-889-4843,800-661-7873, ,In Person,12/20/2019,6/26/2019
6726,627836,4851602, ,HARRISON TACKLE COMPANY,1147,140 DONCASTER AVENUE,140,DONCASTER,Avenue, ,7,Thornhill,Markham,ONTARIO,CANADA,L3T1L3,140 DONCASTER AVENUE,140,DONCASTER,Avenue, ,7,Thornhill,Markham,ONTARIO,CANADA,L3T1L3, ,41447,AMUSEMENT AND SPORTING GOODS WHOLESALER-DISTRIBUTORS, , , , ,"WHOLE SALE DISTRIBUTOR FOR FISHING SUPPLIES, TACKLE AND BAIT",0,0,NA,NOT APPLICABLE,9-May,1996,WWW.PANTHERMARTIN.CA,INFO@PANTHERMARTIN.CA,905-763-8795,0,905-763-8796,888-512-9999, ,In Person,12/20/2019,8/31/2018
6743,630570,4862404, ,VICTORIA SQUARE PARK & COMMUNITY CENTRE,1165,2929 ELGIN MILLS ROAD EAST,2929,ELGIN MILLS,Road,E, ,Markham,Markham,ONTARIO,CANADA,L6C1K8,2929 ELGIN MILLS ROAD EAST,2929,ELGIN MILLS,Road,E, ,Markham,Markham,ONTARIO,CANADA,L6C1K8, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,91391,"OTHER LOCAL, MUNICIPAL AND REGIONAL PUBLIC ADMINISTRATION",TOURISM,UNDEFINED,COMMUNITY CENTER FITNESS AND RECREATIONAL SPORTS CENTERS FOR THE PUBLIC,0,0,NA,NOT APPLICABLE,4-Jan,1988, ,MARYMORTSON@GMAIL.COM,905-887-2798,0, , , ,Phone,12/20/2019,8/31/2018
